sc_1_r,sc_2,sc_3,sc_4_r,sc_5,sc_6,sc_7,sc_8_r,sc_9_r,sc_10,sc_11_r,sc_12_r,manipu,check_1,check_2,exist_1_r,exist_2_r,exist_3_r,exist_4,exist_5,belong_1_r,belong_2_r,belong_3_r,belong_4,belong_5,esteem_1,esteem_2,esteem_3,esteem_4_r,esteem_5,control_1,control_2,control_3,control_4_r,control_5_r,dark_1,dark_2_r,gender,age,sc_1,sc_4,sc_8,sc_9,sc_11,sc_12,exist_1,exist_2,exist_3,belong_1,belong_2,belong_3,esteem_4,control_4,control_5,dark_2,sc,check,exist,belon,estee,contro,dark
2,4,4,2,2,4,4,3,4,4,1,2,1,5,4,4,4,4,2,2,5,4,5,2,2,4,4,1,4,2,2,1,2,4,4,2,4,1,21,4,4,3,2,5,4,2,2,2,1,2,1,2,2,2,2,3.67,4.50,2.00,1.60,2.60,1.80,2.00
1,5,5,1,5,1,5,5,1,1,5,1,1,4,3,3,3,2,4,2,3,3,3,3,4,2,3,3,3,3,3,2,2,4,3,2,4,1,20,5,5,1,5,1,5,3,3,4,3,3,3,3,2,3,2,3.67,3.50,3.20,3.20,2.80,2.40,2.00
3,4,4,2,4,3,4,3,2,3,2,2,1,2,2,2,2,2,4,4,2,2,2,4,2,3,3,3,2,3,4,2,4,2,2,3,3,1,21,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3.67,2.00,4.00,3.60,3.20,3.60,3.00
2,4,4,3,3,4,4,2,2,3,3,2,1,1,1,1,1,1,4,5,1,1,1,4,4,4,4,1,1,4,4,4,4,1,1,5,1,0,17,4,3,4,4,3,4,5,5,5,5,5,5,5,5,5,5,3.67,1.00,4.80,4.60,3.60,4.40,5.00
2,4,4,4,4,3,4,2,2,4,2,2,1,2,2,2,3,2,4,4,2,3,2,4,3,3,3,2,4,3,2,2,2,4,4,2,4,0,18,4,2,4,4,4,4,4,3,4,4,3,4,2,2,2,2,3.75,2.00,3.80,3.60,2.60,2.00,2.00
2,4,4,2,4,4,4,3,2,3,2,3,1,3,3,3,2,2,4,4,2,3,3,4,4,4,4,4,5,4,4,3,4,3,3,3,4,0,22,4,4,3,4,4,3,3,4,4,4,3,3,1,3,3,2,3.75,3.00,3.80,3.60,3.40,3.40,2.50
2,4,4,2,4,4,4,2,2,3,4,2,1,2,2,2,2,2,4,4,2,2,1,4,3,4,4,4,3,4,4,4,4,2,2,2,4,0,20,4,4,4,4,2,4,4,4,4,4,4,5,3,4,4,2,3.75,2.00,4.00,4.00,3.80,4.00,2.00
2,3,3,1,4,4,5,4,2,4,3,1,1,2,2,2,1,2,4,4,2,2,2,4,4,3,4,4,2,4,4,4,4,3,1,2,4,1,21,4,5,2,4,3,5,4,5,4,4,4,4,4,3,5,2,3.83,2.00,4.20,4.00,3.80,4.00,2.00
1,4,4,2,3,2,5,2,3,4,2,1,1,2,2,2,2,2,3,3,2,3,2,4,3,3,4,4,3,4,3,3,4,2,2,3,4,0,19,5,4,4,3,4,5,4,4,4,4,3,4,3,4,4,2,3.92,2.00,3.60,3.60,3.60,3.60,2.50
2,4,3,3,4,4,4,2,2,4,2,1,1,1,1,1,1,1,4,4,1,1,1,4,4,4,4,4,3,2,4,3,4,1,1,1,4,0,19,4,3,4,4,4,5,5,5,5,5,5,5,3,5,5,2,3.92,1.00,4.60,4.60,3.40,4.20,1.50
3,5,5,1,4,4,4,2,1,3,3,2,1,2,2,2,2,2,3,4,2,2,2,2,2,4,4,4,2,4,3,3,3,2,2,2,3,1,20,3,5,4,5,3,4,4,4,4,4,4,4,4,4,4,3,4.08,2.00,3.80,3.20,4.00,3.40,2.50
2,5,4,3,5,5,5,3,2,4,1,2,1,4,4,5,4,4,1,2,5,5,5,1,2,2,2,2,5,2,1,2,4,4,1,2,4,0,21,4,3,3,4,5,4,1,2,2,1,1,1,1,2,5,2,4.25,4.00,1.60,1.20,1.80,2.80,2.00
3,3,5,1,5,4,5,1,3,5,3,1,1,2,3,3,2,2,2,3,3,2,3,2,2,2,3,3,2,3,3,3,2,3,3,1,4,1,22,3,5,5,3,3,5,3,4,4,3,4,3,4,3,3,2,4.25,2.50,3.20,2.80,3.00,2.80,1.50
2,5,4,2,4,3,5,1,1,4,2,1,1,2,4,5,4,4,4,4,4,4,4,2,1,2,4,2,4,1,2,2,4,4,5,1,5,0,18,4,4,5,5,4,5,1,2,2,2,2,2,2,2,1,1,4.33,3.00,2.60,1.80,2.20,2.20,1.00
1,3,4,2,4,4,5,3,1,5,1,1,1,2,1,1,1,1,4,4,1,1,2,4,4,4,5,4,4,3,4,4,4,2,2,1,4,0,24,5,4,3,5,5,5,5,5,5,5,5,4,2,4,4,2,4.33,1.50,4.60,4.40,3.60,4.00,1.50
1,4,5,2,4,5,5,2,2,4,2,1,1,1,2,1,1,1,5,5,1,4,2,5,5,4,5,4,4,5,4,3,5,1,1,2,4,0,18,5,4,4,4,4,5,5,5,5,5,2,4,2,5,5,2,4.42,1.50,5.00,4.20,4.00,4.40,2.00
1,4,4,2,5,4,5,2,2,5,1,1,1,2,2,2,2,2,4,4,2,2,2,4,4,4,4,4,2,4,4,3,4,4,4,2,4,0,21,5,4,4,4,5,5,4,4,4,4,4,4,4,2,2,2,4.50,2.00,4.00,4.00,4.00,3.00,2.00
1,4,4,2,5,4,5,1,2,5,2,1,1,1,1,1,1,1,5,5,5,1,1,4,5,5,5,5,1,4,4,4,4,1,1,1,5,0,19,5,4,5,4,4,5,5,5,5,1,5,5,5,5,5,1,4.50,1.00,5.00,4.00,4.80,4.40,1.00
2,4,4,2,4,5,5,1,1,5,1,1,1,4,4,4,2,3,4,4,3,2,4,1,1,3,4,3,4,2,2,2,5,3,2,1,5,1,18,4,4,5,5,5,5,2,4,3,3,4,2,2,3,4,1,4.58,4.00,3.40,2.20,2.80,3.20,1.00
1,5,5,1,5,5,5,1,1,5,1,1,1,1,1,3,1,1,5,5,1,1,1,5,5,5,1,5,1,5,5,4,5,2,3,1,5,0,21,5,5,5,5,5,5,3,5,5,5,5,5,5,4,3,1,5.00,1.00,4.60,5.00,4.20,4.20,1.00
3,5,2,4,5,3,5,2,1,4,4,1,1,4,4,3,4,1,3,3,5,1,2,3,3,3,5,3,4,4,4,5,2,3,4,1,4,1,19,3,2,4,5,2,5,3,2,5,1,5,4,2,3,2,2,3.75,4.00,3.20,3.20,3.40,3.20,1.50
2,4,4,2,3,4,3,2,2,3,3,3,1,1,1,1,1,1,4,4,1,1,1,4,4,4,4,4,1,4,4,4,4,1,1,2,5,0,21,4,4,4,4,3,3,5,5,5,5,5,5,5,5,5,1,3.58,1.00,4.60,4.60,4.20,4.40,1.50
2,4,4,3,5,5,5,2,2,4,2,1,0,1,1,1,1,1,4,4,1,2,1,4,3,4,4,3,1,4,3,3,4,2,2,1,5,1,19,4,3,4,4,4,5,5,5,5,5,4,5,5,4,4,1,4.25,1.00,4.60,4.20,4.00,3.60,1.00
4,3,3,4,2,3,4,4,3,3,4,2,1,2,2,3,3,2,3,4,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,2,3,0,20,2,2,2,3,2,4,3,3,4,4,4,4,3,3,3,3,2.75,2.00,3.40,3.40,3.00,2.80,2.50
2,3,2,4,4,4,4,4,5,4,2,5,1,3,3,5,4,4,4,5,4,5,4,4,3,4,4,5,4,5,4,4,5,5,5,4,2,1,21,4,2,2,1,4,1,1,2,2,2,1,2,2,1,1,4,2.92,3.00,2.80,2.40,4.00,3.00,4.00
3,3,2,2,3,3,3,3,3,3,3,1,1,2,2,2,3,2,4,4,3,2,3,4,3,3,3,4,5,3,3,4,4,3,3,2,3,1,21,3,4,3,3,3,5,4,3,4,3,4,3,1,3,3,3,3.17,2.00,3.80,3.40,2.80,3.40,2.50
2,4,4,3,3,4,4,3,2,4,2,2,0,3,1,3,3,1,4,3,3,2,2,3,4,3,3,3,1,4,4,2,4,1,1,3,3,1,23,4,3,3,4,4,4,3,3,5,3,4,4,5,5,5,3,3.75,2.00,3.60,3.60,3.60,4.00,3.00
3,4,4,2,5,5,4,2,2,4,2,3,0,3,2,2,2,3,3,4,2,3,2,4,3,3,4,2,2,4,3,2,4,3,3,4,4,0,19,3,4,4,4,4,3,4,4,3,4,3,4,4,3,3,2,4.00,2.50,3.60,3.60,3.40,3.00,3.00
2,4,3,2,4,3,2,4,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,22,4,4,2,4,4,4,3,3,3,3,3,3,3,3,3,4,3.33,3.00,3.00,3.00,3.00,3.00,3.00
2,4,4,2,3,4,4,2,2,4,2,2,1,2,2,2,2,2,2,4,4,2,2,4,2,4,4,4,2,2,2,4,2,2,2,3,3,1,21,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,3.92,2.00,3.60,3.20,3.60,3.20,3.00
1,4,4,2,4,2,5,2,3,3,2,2,0,2,2,2,2,3,4,4,3,2,3,2,4,4,4,3,2,4,4,4,4,2,3,4,3,0,20,5,4,4,3,4,4,4,4,3,3,4,3,4,4,3,3,3.83,2.00,3.80,3.20,3.80,3.80,3.50
2,5,3,2,5,5,5,2,2,5,2,2,0,3,4,4,2,4,4,3,4,2,4,4,3,4,4,3,5,3,4,3,3,3,3,2,2,1,21,4,4,4,4,4,4,2,4,2,2,4,2,1,3,3,4,4.33,3.50,3.00,3.00,3.00,3.20,3.00
3,3,4,4,4,5,4,1,2,1,5,1,1,4,4,3,4,4,2,3,4,4,5,1,1,2,1,1,5,5,1,4,2,5,5,3,2,1,20,3,2,5,4,1,5,3,2,2,2,2,1,1,1,1,4,3.42,4.00,2.40,1.40,2.00,1.80,3.50
1,4,4,2,3,3,4,3,2,4,1,1,0,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,2,3,3,3,3,4,4,1,20,5,4,3,4,5,5,3,3,3,3,3,3,4,3,3,2,4.00,3.00,3.00,2.80,3.00,2.80,3.00
2,3,4,3,4,3,4,3,2,3,3,3,1,2,2,2,2,2,3,4,2,2,2,3,2,4,2,3,1,3,3,4,2,2,2,1,4,1,22,4,3,3,4,3,3,4,4,4,4,4,4,5,4,4,2,3.42,2.00,3.80,3.40,3.40,3.40,1.50
